Title,Subtitle,DateTime
URGENT DEBATES DECLINED,"Hon Michael Wood—Auckland Airport, Potential Conflict of Interest",2023-06-06 14:52:47
APPROPRIATION (2022/23 SUPPLEMENTARY ESTIMATES) BILL,First Reading,2023-06-06 14:54:12
CHILD SUPPORT (PASS ON) ACTS AMENDMENT BILL,Third Reading,2023-06-06 14:55:45
FUEL INDUSTRY (IMPROVING FUEL RESILIENCE) AMENDMENT BILL,First Reading,2023-06-06 16:17:06
FUEL INDUSTRY AMENDMENT BILL,Second Reading,2023-06-06 17:53:17
SALE AND SUPPLY OF ALCOHOL (RUGBY WORLD CUP 2023 EXTENDED TRADING HOURS) AMENDMENT BILL,Introduction,2023-06-06 19:06:00
SALE AND SUPPLY OF ALCOHOL (RUGBY WORLD CUP 2023 EXTENDED TRADING HOURS) AMENDMENT BILL,First Reading,2023-06-06 19:06:10
DEPOSIT TAKERS BILL,Second Reading,2023-06-06 19:47:35
HEALTH AND SAFETY AT WORK (HEALTH AND SAFETY REPRESENTATIVES AND COMMITTEES) AMENDMENT BILL,Third Reading,2023-06-06 20:59:13
ACCIDENT COMPENSATION (ACCESS REPORTING AND OTHER MATTERS) AMENDMENT BILL,Third Reading,2023-06-01 14:51:08
BUSINESS PAYMENT PRACTICES BILL,Second Reading,2023-06-01 15:13:47
FUEL INDUSTRY AMENDMENT BILL,Second Reading,2023-06-01 16:15:21
IMPROVING ARRANGEMENTS FOR SURROGACY BILL,,2023-05-31 14:00:54
CHILD SUPPORT (PASS ON) ACTS AMENDMENT BILL,In Committee,2023-05-31 19:30:46
HEALTH AND SAFETY AT WORK (HEALTH AND SAFETY REPRESENTATIVES AND COMMITTEES) AMENDMENT BILL,,2023-05-31 20:37:07
CHARITIES AMENDMENT BILL,,2023-05-31 21:31:22
VOTING,Correction—Health and Safety at Work (Health and Safety Representatives and Committees) Amendment Bill,2023-05-31 21:37:28
CHARITIES AMENDMENT BILL,In Committee,2023-05-31 21:37:50
PRIVILEGE,Oral Questions—Correction of Supplementary Answer,2023-05-30 14:01:47
OBITUARIES,Her Royal Highness Princess Mele Siu'ilikutapu Kalaniuvalu Fotofili,2023-05-30 14:04:27
CHILD SUPPORT (PASS ON) ACTS AMENDMENT BILL,Second Reading,2023-05-30 19:00:00
SELF-CONTAINED MOTOR VEHICLES LEGISLATION BILL,Third Reading,2023-05-30 20:08:51
FAMILY COURT (FAMILY COURT ASSOCIATES) LEGISLATION BILL,Third Reading,2023-05-30 21:03:09
ACCIDENT COMPENSATION (ACCESS REPORTING AND OTHER MATTERS) AMENDMENT BILL,Third Reading,2023-05-30 21:15:25
"ENERGY (FUELS, LEVIES, AND REFERENCES) AMENDMENT BILL",First Reading,2023-05-19 09:00:27
Second Reading,,2023-05-19 09:40:31
VOTING,Correction—Energy Resources Levy Amendment Bill,2023-05-19 10:36:11
"ENERGY (FUELS, LEVIES, AND REFERENCES) AMENDMENT BILL",Third Reading,2023-05-19 10:36:33
"TAXATION (ANNUAL RATES FOR 2023-24, MULTINATIONAL TAX, AND REMEDIAL MATTERS) BILL",First Reading,2023-05-19 10:39:23
TAXATION PRINCIPLES REPORTING BILL,First Reading,2023-05-19 12:03:01
LAND TRANSPORT (ROAD SAFETY) AMENDMENT BILL,First Reading,2023-05-19 14:39:35
APPROPRIATION (2023/24 ESTIMATES) BILL,Introduction,2023-05-18 14:04:27
BUDGET STATEMENT,,2023-05-18 14:05:41
ENERGY RESOURCES LEVY AMENDMENT BILL,First Reading,2023-05-18 16:23:32
"ENERGY (FUELS, LEVIES, AND REFERENCES) AMENDMENT BILL",First Reading,2023-05-18 21:45:51
FORESTS (LEGAL HARVEST ASSURANCE) AMENDMENT BILL,Third Reading,2023-05-17 15:55:54
HEALTH AND SAFETY AT WORK (HEALTH AND SAFETY REPRESENTATIVES AND COMMITTEES) AMENDMENT BILL,Second Reading,2023-05-17 16:29:01
CUSTOMS AND EXCISE (ARRIVAL INFORMATION) AMENDMENT BILL,Third Reading,2023-05-17 17:49:04
VOTING,Correction—Health and Safety at Work (Health and Safety Representatives and Committees) Amendment Bill,2023-05-17 19:00:29
CUSTOMS AND EXCISE (ARRIVAL INFORMATION) AMENDMENT BILL,Third Reading,2023-05-17 19:01:02
CHARITIES AMENDMENT BILL,Second Reading,2023-05-17 19:34:12
FAMILY COURT (FAMILY COURT ASSOCIATES) LEGISLATION BILL,Third Reading,2023-05-17 21:04:42
VOTING,Correction—Charities Amendment Bill,2023-05-17 21:48:05
FAMILY COURT (FAMILY COURT ASSOCIATES) LEGISLATION BILL,Third Reading,2023-05-17 21:49:19
VISITORS,Australia—Australia Political Exchange Delegation,2023-05-16 14:01:05
MINISTERIAL STATEMENTS,"Loafers Lodge Fire—Newtown, Wellington",2023-05-16 14:01:27
ANNUAL REVIEW DEBATE,In Committee,2023-05-16 15:17:53
APPROPRIATION (2021/22 CONFIRMATION AND VALIDATION) BILL,Third Reading,2023-05-16 16:06:44
CUSTOMS AND EXCISE (ARRIVAL INFORMATION) AMENDMENT BILL,In Committee,2023-05-16 16:09:22
SELF-CONTAINED MOTOR VEHICLES LEGISLATION BILL,In Committee,2023-05-16 16:26:01
ACCIDENT COMPENSATION (ACCESS REPORTING AND OTHER MATTERS) AMENDMENT BILL,In Committee,2023-05-16 17:32:30
GROCERY INDUSTRY COMPETITION BILL,In Committee,2023-05-16 19:23:37
WORKER PROTECTION (MIGRANT AND OTHER EMPLOYEES) BILL,Second Reading,2023-05-11 14:58:25
ACCIDENT COMPENSATION (ACCESS REPORTING AND OTHER MATTERS) AMENDMENT BILL,Second Reading,2023-05-11 15:23:49
FORESTS (LEGAL HARVEST ASSURANCE) AMENDMENT BILL,Third Reading,2023-05-11 16:28:20
APPOINTMENTS,Assistant Speaker,2023-05-10 14:55:37
STANDING ORDERS,Sessional,2023-05-10 14:56:04
